name;extension;url;fichas;periodico
afil_c;json;http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?accion=jsonMtd&uuidConsulta=aa1065d6-8f06-4c42-9ff0-cabef570fa78;afiliacion_cotizacion ;1
afil_ae_c;json;http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?accion=jsonMtd&uuidConsulta=3a59bb24-1073-4c2f-8a08-88535adc7326;afiliacion_cotizacion ;1
piramide_c;json;http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?accion=jsonMtd&uuidConsulta=a8f8a59d-7ea1-4b0a-8ee6-14222af60963;afiliacion_cotizacion ;0
presupuesto_1;json;https://datos.canarias.es/api/estadisticas/statistical-resources/v1.0/datasets/ISTAC/E31025B_000001/~latest.json?dim=MEDIDAS:IMPORTE_PRESUPUESTARIO:PRESUPUESTO_ESTADO:PRESUPUESTO_EJECUTADO:PRESUPUESTO_PARTIDA:INGRESOS:TERRITORIO:35004|35010|35018|35024|35028|35029|35034|35003|35007|35014|35015|35017|35030|35001|35002|35005|35006|35008|35009|35011|35012|35013|35016|35019|35020|35021|35022|35023|35025|35026|35027|35031|35032|35033|38001|38004|38005|38006|38010|38011|38012|38015|38017|38018|38019|38020|38022|38023|38025|38026|38028|38031|38032|38034|38035|38038|38039|38040|38041|38042|38043|38044|38046|38051|38052|38002|38003|38021|38036|38049|38050|38007|38008|38009|38014|38016|38024|38027|38029|38030|38033|38037|38045|38047|38053|38013_1912|38013_2007|38048|38901&lang=es;presupuestos ;0
presupuesto_1_inicial;json;https://datos.canarias.es/api/estadisticas/statistical-resources/v1.0/datasets/ISTAC/E31025B_000001/~latest.json?dim=MEDIDAS:IMPORTE_PRESUPUESTARIO:PRESUPUESTO_ESTADO:PRESUPUESTO_INICIAL:PRESUPUESTO_PARTIDA:INGRESOS:TERRITORIO:35004|35010|35018|35024|35028|35029|35034|35003|35007|35014|35015|35017|35030|35001|35002|35005|35006|35008|35009|35011|35012|35013|35016|35019|35020|35021|35022|35023|35025|35026|35027|35031|35032|35033|38001|38004|38005|38006|38010|38011|38012|38015|38017|38018|38019|38020|38022|38023|38025|38026|38028|38031|38032|38034|38035|38038|38039|38040|38041|38042|38043|38044|38046|38051|38052|38002|38003|38021|38036|38049|38050|38007|38008|38009|38014|38016|38024|38027|38029|38030|38033|38037|38045|38047|38053|38013_1912|38013_2007|38048|38901&lang=es;presupuestos ;0
ingresos_p;json;https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicators/PRESUPUESTO_AYUNTAMIENTOS_LIQUIDADO_INGRESO_HABITANTE/data?representation=MEASURE%5BABSOLUTE%5D;presupuestos ;0
gastos;json;https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicators/PRESUPUESTO_AYUNTAMIENTOS_LIQUIDADO_GASTO_HABITANTE/data?representation=MEASURE%5BABSOLUTE%5D;presupuestos ;0
presupuesto_2;json;https://datos.canarias.es/api/estadisticas/statistical-resources/v1.0/datasets/ISTAC/E31025B_000002/~latest.json?dim=TERRITORIO:35004|35010|35018|35024|35028|35029|35034|35003|35007|35014|35015|35017|35030|35001|35002|35005|35006|35008|35009|35011|35012|35013|35016|35019|35020|35021|35022|35023|35025|35026|35027|35031|35032|35033|38001|38004|38005|38006|38010|38011|38012|38015|38017|38018|38019|38020|38022|38023|38025|38026|38028|38031|38032|38034|38035|38038|38039|38040|38041|38042|38043|38044|38046|38051|38052|38002|38003|38021|38036|38049|38050|38007|38008|38009|38014|38016|38024|38027|38029|38030|38033|38037|38045|38047|38053|38013_2007|38048|38901:PRESUPUESTO_ESTADO:PRESUPUESTO_EJECUTADO:MEDIDAS:IMPORTE_PRESUPUESTARIO:PRESUPUESTO_PARTIDA:GASTOS:PRESUPUESTO_PROGRAMA_GASTOS:0|1|2|3|4|9&lang=es;presupuestos ;1
presupuesto_3;json;https://datos.canarias.es/api/estadisticas/statistical-resources/v1.0/datasets/ISTAC/E31025B_000003/~latest.json?dim=TERRITORIO:35004|35010|35018|35024|35028|35029|35034|35003|35007|35014|35015|35017|35030|35001|35002|35005|35006|35008|35009|35011|35012|35013|35016|35019|35020|35021|35022|35023|35025|35026|35027|35031|35032|35033|38001|38004|38005|38006|38010|38011|38012|38015|38017|38018|38019|38020|38022|38023|38025|38026|38028|38031|38032|38034|38035|38038|38039|38040|38041|38042|38043|38044|38046|38051|38052|38002|38003|38021|38036|38049|38050|38007|38008|38009|38014|38016|38024|38027|38029|38030|38033|38037|38045|38047|38053|38013_1912|38013_2007|38048|38901:MEDIDAS:AHORRO_BRUTO|AHORRO_BRUTO_PORCENTAJE|AHORRO_NETO|AHORRO_NETO_PORCENTAJE|CARGA_FINANCIERA|CARGA_FINANCIERA_PORCENTAJE&lang=es;presupuestos ;1
viajeros_lugar;json;https://datos.canarias.es/api/estadisticas/statistical-resources/v1.0/datasets/ISTAC/C00065A_000036/~latest.json?dim=MEDIDAS:ESTANCIA_MEDIA|VIAJEROS_ALOJADOS:TERRITORIO:ES70|ES708|35004|35010|35024|35028|35034|ES704|35003|35014|35015|35017|35030|ES705|35012|35016|35019|ES709|38001|38006|38017|38019|38023|38028|38035|38038|38040|ES706|38003|38036|38049|38050|ES707|38009|38014|38024|38027|38037|38045|ES703|38013_2007|38048|38901&lang=es;alojamientos_turisticos;1
tasa_ocupacion;json;https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicators/ALOJATUR_PLAZAS_OCUPACION/data?representation=MEASURE%5BABSOLUTE%5D&granularity=GEOGRAPHICAL%5BMUNICIPALITIES%5D%2CTIME%5BMONTHLY%5D;alojamientos_turisticos;1
ADR;json;https://datos.canarias.es/api/estadisticas/indicators/v1.0/indicators/ALOJATUR_TARIFA_ADR/data?representation=MEASURE%5BABSOLUTE%5D&granularity=GEOGRAPHICAL%5BMUNICIPALITIES%5D%2CTIME%5BMONTHLY%5D;alojamientos_turisticos;0
aloj_isla;json;https://datos.canarias.es/api/estadisticas/statistical-resources/v1.0/datasets/ISTAC/C00065A_000037/~latest.json?dim=MEDIDAS:VIAJEROS_ALOJADOS:TERRITORIO:ES70|35004|35010|35024|35028|35034|35003|35014|35015|35017|35030|35012|35016|35019|38001|38006|38017|38019|38023|38028|38035|38038|38040|38003|38036|38049|38050|38009|38014|38024|38027|38037|38045|38013_2007|38048|38901&lang=es;alojamientos_turisticos;0
hotel;json;https://datos.canarias.es/api/estadisticas/statistical-resources/v1.0/datasets/ISTAC/C00065A_000001/~latest.json?dim=TERRITORIO:35004|35024|35028|35034|35003|35014|35015|35017|35030|35012|35016|35019|38001|38006|38017|38019|38023|38028|38035|38038|38040|38036|38049|38050|38009|38014|38024|38037|38013_2007|38048:MEDIDAS:ESTABLECIMIENTOS|HABITACIONES|PLAZAS:ALOJAMIENTO_TURISTICO_CATEGORIA:_T&lang=es;alojamientos_turisticos;0
